"ID","Date","Temperature","Humidity","Light","CO2","HumidityRatio","Occupancy"
"4691",2015-02-14 20:57:59,19.89,35.4333333333333,0,526.333333333333,0.00509377488034099,0
"6954",2015-02-16 10:40:59,21.39,27.315,459,962.25,0.00430164473345027,1
"2442",2015-02-13 07:28:59,20.79,25.8966666666667,0,524,0.00392836804220487,0
"4670",2015-02-14 20:37:00,19.89,35.4,0,528,0.00508894378907528,0
"5844",2015-02-15 16:11:00,21.34,31.65,31,661.5,0.00497441823988091,0
"1809",2015-02-12 20:55:59,21.2,27.15,0,567,0.0042256141524178,0
"7290",2015-02-16 16:17:00,21.79,29.39,449.5,933.5,0.00474647318715823,1
"7922",2015-02-17 02:49:00,20,30.39,0,712,0.00439373474883846,0
"8007",2015-02-17 04:14:00,20.29,30.5,0,728,0.00449016902073007,0
"6357",2015-02-16 00:43:59,20.29,28.89,0,781.333333333333,0.00425152687849553,0
"2283",2015-02-13 04:50:00,20.89,24.2,0,572.5,0.00369226312722283,0
"7150",2015-02-16 13:57:00,21.4725,28.075,469,831,0.00444475050322189,1
"890",2015-02-12 05:37:00,20.5,23.29,0,583,0.00346780977726908,0
"6677",2015-02-16 06:04:00,20.445,25.245,0,795.5,0.00374784245133256,0
"9244",2015-02-18 00:51:00,20.89,28.39,0,1306,0.00433599985760708,0
"1770",2015-02-12 20:17:00,21.2,27.6,0,559.5,0.00429613570509869,0
"2564",2015-02-13 09:30:59,22.1333333333333,25.4633333333333,602,586.666666666667,0.00419568362038902,1
"1243",2015-02-12 11:30:00,24.1,22.5,258,861.5,0.00417552627916119,0
"223",2015-02-11 18:29:59,21.7,28.86,0,586,0.00463448324015265,0
"3941",2015-02-14 08:28:00,19.89,36.9,0,506.5,0.00530641661407087,0
"1066",2015-02-12 08:32:59,20.6,21.865,454,652.5,0.00327476397660048,0
"5140",2015-02-15 04:27:00,20.15,32.59,0,564,0.00475853552060159,0
"1606",2015-02-12 17:32:59,22,28.1,433,635,0.00459558450438815,1
"1538",2015-02-12 16:25:00,22.29,26.815,439,556.5,0.00446266091506117,1
"7951",2015-02-17 03:17:59,20,30.5,0,718,0.00440975111337455,0
"5857",2015-02-15 16:24:00,21.2,31.79,40,672,0.00495353298310899,0
"1348",2015-02-12 13:14:59,24.2,23.5,205,740,0.00438884594252233,0
"164",2015-02-11 17:31:00,21.89,29.8675,419,740.5,0.00485397057459965,1
"3709",2015-02-14 04:36:00,19.6,36.645,0,504.5,0.00517465609895639,0
"4006",2015-02-14 09:33:00,20.0333333333333,36.3266666666667,11.3333333333333,508.666666666667,0.00527026677780789,0
"7438",2015-02-16 18:45:00,21.29,30.15,0,851,0.00472225748281681,0
"9521",2015-02-18 05:28:00,20.79,26.29,0,1532.5,0.00398841692997244,0
"5690",2015-02-15 13:37:00,22.39,29.79,92.25,659.5,0.00499224333885032,0
"3256",2015-02-13 21:03:00,20.39,31.2,0,512.5,0.00462266512278733,0
"9489",2015-02-18 04:56:00,20.79,26.2,0,1570,0.00397467591370672,0
"7540",2015-02-16 20:26:59,20.6,30.29,0,738.5,0.00454581469606991,0
"9369",2015-02-18 02:55:59,20.79,26.6,0,1264.33333333333,0.00403575171507294,0
"196",2015-02-11 18:03:00,21.89,29.4566666666667,419,655.666666666667,0.00478668943783764,1
